classification,text
Gadgets,"The latest cell phone reviews and news with a healthy dose of gadgets, special guests, and that special something that only Noah from phonedog.com can supply.

For everything cell phone be sure to visit phonedog.com and read the latest articles, view video reviews of the latest cell phones or try one of our helpful tools like our:

- Phone Finder
- Rate Plan Finder"
Video Games,"The Indoor Kids isn't just about video games, but it isn't not about video games. The Indoor Kids is all about the kind of lifestyle you have to lead in order to be a proper Gamer, capital G. Join hosts Kumail Nanjiani and Emily V. Gordon as they take on a journey from childhood Shinobi obsessions, up through the best and worst video game adaptations of movies. Grab your Energy Swords(Mountain Dew liter bottles)!"
History,"Welcome to The True Crime Enthusiast Podcast, which started off life as a weekly written blog in 2016, and has now made the jump into a weekly matter of fact straight talking podcast. In it, the host Paul looks at and recounts in-depth true crime cases from the UK - solved or unsolved, but always the lesser known and obscure.
Follow us on Facebook (https://www.facebook.com/TheTrueCrimeEnthusiast/), Twitter (https://twitter.com/tc_enthusiast), Instagram (https://www.instagram.com/truecrimeenthusiast/) Wordpress Blog (https://truecrimeenthusiast.wordpress.com) and contact us on
truecrimeenthusiast@gmail.com.
Also, you can support the show at Patreon for extra content and offers:
The True Crime Enthusiast Patreon (https://www.patreon.com/thetruecrimeenthusiast)"
Comedy,"Welcome to the Amazon Book Club! We're taking a stab at every free e-book on Amazon Prime one week at a time until it kills us or we kill each other. Tune in for tales of whimsy, tragedy, and heartbreak with just one underlying theme: it costs us nothing to read."
Higher Education,"Stanford Innovation Lab is brought to you by the Stanford Technology Ventures Program (STVP). This series is designed to give you a taste of the topics we explore in our classes on innovation and entrepreneurship. Our host is Stanford’s Tina Seelig, who teaches courses across the university that empower students to be more confident, creative and entrepreneurial in life."
Video Games,"The TouchArcade Show is an irreverent iOS video games podcast featuring the staff of the number one iOS site on the web, now downloaded over 65,000 times a week! Our interests include new games, greasy screens, the latest drama, hot news, professional wrestling, and listeners like you. If you have any feedback, good or bad, leave an iTunes review or send us an email at podcast@toucharcade.com - We read almost everything on the show! Interested in sponsoring an episode? Reach out at ads@toucharcade.com - Thanks for listening!"
Natural Sciences,"Welcome to Blueshift, produced by the Astrophysics Science Division at NASA's Goddard Space Flight Center.  Since 2007, Blueshift has been your ""backstage pass"" to science, missions and personnel here at Goddard, with a focus on the Universe beyond the solar system.  We'll fill you in on groundbreaking discoveries, innovative technology, new missions, and other exciting stories.  Visit us online at http://universe.nasa.gov/blueshift/ or follow us on Twitter or Facebook as NASABlueshift!"
Philosophy,"An entertaining podcast about self-awareness and discovery. The title Infants on Thrones is an homage to the Mormon Founder Joseph Smith who said, in his lesser-known King Follet discourse, that eternity is full of thrones, upon which dwell thousands of children, reigning on thrones of glory, with not one cubit added to their stature. It is a funny image, but it also suggests that we, as amateur podcasters, do not really have all the answers we may think we do. We can't take ourselves too seriously. We are also Infants on Thrones."
Social Sciences,[국민라디오] 고상만의 수사반장 kukmin.tv
News & Politics,"The Young Turks is Home of The Progressives. Cenk Uygur, Ana Kasparian and a host of progressive voices deliver the news and provocative commentary. Whether you are seeking a breakdown of current events, politics and the mainstream media or just a quick laugh, the Daily TYT Audio Podcast will always keep you informed and entertained. Catch the live show Monday through Friday, on www.tyt.com."
Higher Education,Authors Tina Kaufman & Ticiano Alegre demonstrate grammer and technique from their book Yes/No Medical Spanish: A Comprehensive Handbook of Clinical Spanish
Places & Travel,"This is the podcast for all things Disney World, from A - Z. Join us each week as we discuss news, answer questions, and more!"
Medicine,The Science Radio News Feature of the AAAS
National,Diving Deeper is a bi-weekly program featuring discussions with NOS scientists on a wide variety of ocean topics.
Design,"Hello Atelier explores what it means to be a working artist. We take you into to the studios of designers of all different mediums to learn about their inspiration, their design process and the personal stories behind their art."
Science & Medicine ,"""The Conversations Most Vital to Our Survival As a Species”.

Quinn Emmett & Brian Colbert Kennedy, publishers of the popular “Important, Not Important” weekly newsletter and otherwise regular, progressive, terrified folks like you, host weekly-ish conversations with awesome scientists, engineers, doctors, politicians, and journalists, as they discuss the questions and topics most likely to either save the planet, or end it! Topics include climate change, artificial intelligence, clean energy, space exploration, antibiotics, bio-tech and more."
Outdoor,"Hi, I'm Tim Burnett and this is the SOLO HNTR Podcast. We're talking hunting and adventure, business and life, with other self sufficient and like minded individuals."
Outdoor,Podcast by Precision Shooting Podcast
Literature,"Hosted by John J. Miller of National Review, The Bookmonger features 10-minute interviews with today's top authors on current events, politics, history, and more.



N.B. The most recent ten episodes of this podcast are available on this feed. Full archives are available at NationalReview.com."
Shopping,Interviews with The Baglady
Fitness & Nutrition,"These are couch to 5K style coached running podcasts, set to high energy music.  Low, Moderate, and some High impact interval run drills.  Also your source for the 5K 101 Training Program. http://www.5k101.com, http://www.10k101.com"
Business News,Everybody has 2 cents and everybody has 2 minutes so here's Grant's 2 cents in under 2 minutes.
Places & Travel,The Amateur Traveler is an online travel show that focuses primarily on travel destinations and the best places to travel to.  It covers everything from knowing what to put on your Chicago dog when you go to the Windy City to swimming with whales in Tonga.
Management & Marketing,"The Official BNI Podcast is a weekly discussion with Dr. Ivan Misner, the Founder and Chief Visionary Officer of BNI, the world's largest business networking organization. Dr. Misner shares tips on referral marketing, networking, and getting the most out of BNI."
National,"In about an hour Bob Hein, Steve Leonard, and Phil Walter of www.DivergentOptions.org, with occasional guests, discuss national security issues of the past, present, and future."
Self-Help,"A podcast for young woman looking for a common voice.  Featuring meditations and inspiration by author, life-coach and motivational speaker Gabrielle Bernstein."
National,"From TED: The American political system has been foundationally weakened by a corrupt campaign funding system, creating a dangerously unstable and inequitable design that could destroy our republic — if we let it. In Le$terland: The Corruption of Congress and How To End It, Harvard law professor Lawrence Lessig assesses the deep flaws in our campaign finance system and lays out a plan for fixing it. Lessig describes a place called “Lesterland,” a fictional land with a population of 311 million people of whom the 144,000, named Lester are the people really in charge. It’s the United States, of course, and Lesters are the 0.05 percent of Americans who fund the election. Lessig notes that just 132 Americans gave 60 percent of the SuperPAC money spent in the election cycle. It’s these few, he says, who are our Lesters, and our dependence on them is perverting the democracy of the country. After all, if candidates have to spend 30 to 70 percent of their time trying to raise funds to get back to Congress, which they do, might that not affect their principles, their beliefs, their ideals, and what they’re prepared to fight for on behalf of the people? It’s time to change the system. Here’s how."
Society & Culture,"In today’s world there is an awkward connection between media, education and entertainment. Freedom empowered is here to revolutionize that balance. we have channeled a unique combination of fascinating success stories, out of the ordinary experiences, and innovative and common sense ideas alike to create a process to guide people on their journey towards personal freedom. Whether you envision yourself as the next big entrepreneur, the world’s most accomplished world traveler, or are simply looking for some grade A entertainment to start to let your mental sparks fly,  we have an episode for you."
Gadgets,"Your Technology Tutor - Chet Davis shares technology tips you can use, in plain language you can understand. Learn to become more successful using your personal tech tools like the iPhone, Mac computers, video cameras and digital photography."
Philosophy,"Beginner friendly if listened to in order! For anyone interested in an educational podcast about philosophy where you don't need to be a graduate-level philosopher to understand it. In chronological order, the thinkers and ideas that forged the world we live in are broken down and explained."
TV & Film,The snarky writers at WISECRACK love Rick and Morty! Join them for a deep dive into the magic and subtext of each and every episode.
Careers,"The Weird Entrepreneurs Podcast is the Shaolin Temple of kick-ass 30 minute interviews with today's top entrepreneurs. The purpose of this show is to help you experience the transformation you are seeking in your life and in your business to get the results you truly desire. Check out http://WeirdEntrepreneurs.com for a complete recap of each and every show along with helpful tools and resources to grow your business as well as grow spiritually and mentally. Learn how to monetize your own unique and divine weirdness on this Podcast with your host Justin & D Verrengia. Once you meet Justin and D you'll agree there is no one like them on the planet. Justin Verrengia is better known as the ""Hippie Jedi"" and D is the ""Bliss Jedi"". Together they are million dollar earners who continue to innovate not only the way things are done but how our society lives. Their biggest passion in life is inspiring others to live their dreams."
Performing,"Gunsmoke was a long-running old-time radio and television Western drama program set in Dodge City, Kansas during the settlement of the American West. The radio show first aired on April 26, 1952 and ran until June 18, 1961 on the CBS radio network. The series starred William Conrad as Marshal Matt Dillon, Howard McNear as Doc Charles Adams, Georgia Ellis as Kitty Russell, and Parley Baer as Deputy Chester Proudfoot. Doc’s first name and Chester’s last name were changed for the television program. Gunsmoke was notable for its critically acclaimed cast and writing, and is commonly regarded as one of the finest old time radio shows. Some listeners have argued that the radio version of Gunsmoke was far more realistic than the television program. Episodes were aimed at adults, and featured some of the most explicit content of the day: there were violent crimes and scalpings, massacres and opium addicts. Miss Kitty’s occupation as a prostitute was made far more obvious on the radio version than on television. Many episodes ended on a down-note, and villains often got away with their crimes."
Hobbies,"The Bhooked Podcast is your place of crochet inspiration and learning. Yarn is life here and together on this podcast we share our hobby and lifestyle. When you want to kick back and learn from some of the world’s greatest crochet designers, grab your hooks and turn on the Bhooked Podcast. There’s never a shortage of all things crochet."
Food,"Are you a busy person who just never got around to learning the basics of cooking? We built startcooking.com just for you. You'll learn how to make quick and tasty meals, plus learn the basic cooking skills you'll need. Get ready to start cooking! Many more episodes are available through our Start Cooking video feed, go to startcooking.com for details."
Performing,"When a supernatural threat drives mankind to the point of extinction, survivors around the globe struggle to endure in a world with just three rules:

Do not look outside. Do not look at the sky. Do not make noise."
Comedy,"The Cracked Podcast is facts, jokes, and more from the Internet’s leading comedy website. Every week, host Alex Schmidt brings together comedians, authors, scientists, and Cracked staffers, to celebrate the awesome truth that being alive is more interesting than people think it is. Fill your week and your brain with hilarious, mind-blowing revelations that’ll make you the most interesting person in every room you’re in.Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free. Go to stitcher.com/premium and use promo code EARWOLF for 1 month free (and $5 off the annual plan!)"
Language Courses,Learn Italian with free podcasts. No need to attend a classroom lesson. Use LearnItalianPod.com to learn Italian when and where is most convenient for you. See how 5 minutes a day can make the difference!
Language Courses,"Easy Spanish lessons with real-life conversations, vocabulary audio flashcards, verb drills, learning tips, and more. Sit back and start speaking Spanish today!"
Literature,"I want to make you feel sexy. Strong. Confident. I want you to feel like the world is at your knee's. Shut the door, put me in your ears, and let's explore. Together."
Higher Education,"History of Art at the University of Oxford draws on a long and deep tradition of teaching and studying the subject. The core academic staff of the History of Art Department work on subjects from medieval European architecture to modern Chinese art.  Over fifty associated academic staff (e.g. in Anthropology, Classics, History, Oriental Studies, and the Ruskin School of Drawing) include teachers and researchers across the full global and historical range of art and visual culture.  This offers students exciting possibilities to take courses and receive supervision on a very wide range of topics, and to develop their own interests in art history."
Gadgets,A weekly feature with ChrisOfTheNorthWest and DarrylW4 discussing topics of interest to Geocachers and Technology Enthusiasts
Philosophy,Questions to spark conversations. 2-3 minutes every weekday and the occasional weekend deep dive.
Social Sciences,An ongoing series of talks and lectures given by academic staff at City University. Find out what really goes on inside your head with City's department of Psychology. (iPod/iPhone version)
Careers,"An exploration to figure out how we can trust our intuition to do more exceptional work. Every Monday, join ex-Google, startup, and VC brand-builder Jay Acunzo as he travels to the far reaches of the business world to dig up stories you've never heard revealing ideas you've never considered. It's Unthinkable."
News & Politics,"ABC News' Sunday morning discussion program, featuring newsmaker interviews, panel discussions and debates on a wide range of global issues and commentary. Brought to you by George Stephanopoulos and the ABC News team."
Gadgets,"Keeping Time With Oster Watches is a podcast dedicated to enriching conversations about the luxury watch industry.  Hosted by  Jeremy Oster in Denver Colorado.  Featuring guests from the top tiers of industry covering the latest trends, ideas, and products."
Design,"A podcast by a knife maker dedicated to knife making.  We cover everything from the equipment needed to the processes of knife making and bladesmithing, answering questions and interviewing other professionals along the way."
Higher Education,"Conspiracies, by definition, require more than one person to be involved. Conspiracy Agents is your opportunity to get involved in the discussion, investigation and fact-finding in regard to today's most interesting Conspiracies. Bigfoot, The Illuminati, UFOs and more. Grab your credentials, straighten your thin black tie - it's time to dig into the growing stack of manila files. 
Open your mind. It's time for Conspiracy Agents with Kevin Hawthorne and Dr. Michael Lynch"
Sexuality,"Swingin' Around is a conversational podcast about swinging, sex and everyday life. Our goal is to be sex positive, fun, entertaining, even flirtatious- with some useful information too."
Training,"Join speech-language pathologist Jeff Stepen as he interviews a variety of professionals, parents, and other assorted characters about topics related to the practice of speech pathology/therapy."
Careers,"TGIF Today God Is First, is a FREE daily devotional email which combines Bible teaching with practical insights for your work and life.  TGIF currently has over 180,000 email subscribers worldwide. Subscribe by email at http://www.todaygodisfirst.com."
Medicine,"Lecture audio from this course in Pathophysiology is presented to you by Dr. Gerald Cizadlo of the College of St. Scholastica. These lectures will be of interest to students,those planning careers in science and medicine,and current practitioners in the field. Please note: The content and opinions expressed here belong to the author and are not necessarily endorsed by The College of St. Scholastica. For the course outline and/or to view a digital blackboard of images associated with these lectures, please visit the Web site at: http://faculty.css.edu/gcizadlo/Patho2004/index.htm."
News & Politics,"There’s more news and less comprehension today than any historical period that didn’t involve literal witch trials, and trying to stay on top of it all can feel like playing a game of telephone with 30 people, except everyone’s speaking at the same time and like a third of them are openly racist for some reason. From Cracked co-founder Jack O’Brien, THE DAILY ZEITGEIST is stepping into that fray with some of the funniest and smartest comedic and journalistic minds around. Jack will spend up to an hour every weekday sorting through the events and stories driving the headlines, to help you find the signal in the noise, with a few laughs thrown in for free."
Self-Help,"LearnOutLoud's Personal Growth Podcast will periodically showcase classic and contemporary self development audio. Learn how to achieve your goals, improve your relationships, increase your creativity, and much more."
Investing,"Learn the real estate investing strategies from experts around the country on how to get started in real estate investing or grow your existing portfolio. Moneeka Sawyer has built a multi-million dollar business using real estate as her vehicle to build what she calls, Blissful Wealth, only working 5 hours per month. She loves empowering women to do the same.   In this podcast you will not only learn great investing strategies, but also how to get the mindset and heartset so you can profit from real estate and enjoy the journey.  Learn to retire rich and live your bliss."
Natural Sciences,"High-definition (HD) videos from NASA's Jet Propulsion Laboratory feature the latest news on space and science findings from JPL and NASA. Topics include discoveries made by spacecraft studying planets in our solar system, including Mars, Saturn and our home planet, Earth. Missions also study stars and galaxies in our universe."
Investing,Jeff Rose from GoodFinancialCents.com is a Certified Financial Planner and Iraqi combat veteran with over 10 years of real world financial planning experience.  Launching The Money Uprising Movement his mission is to give people the tools and resources they need to achieve financial freedom.
Christianity,"In quick and dirty 20-25 minute episodes, Preston takes a fresh look at what the Bible really says, as he challenges opinions and traditions--yes, even his own. 
Homosexuality, sex, porn, drinking, immigration, racial tensions, violence, ISIS, Trump, guns, patriotism, you name it. If it's of interest, you can expect Preston to address it.   Think of it as theology for the rest of us.
If you have any questions you'd like him to address on the show, email them to chris@prestonsprinkle.com. Hate mail and tirades will be discarded or mocked."
Design,"EPIC FU is what happens when tech and culture get it on. It's your weekly geek-out to the coolest art, tech, and music from the online and offline world. Subscribe to get a fresh new episode each week!!"
Aviation,"A show about VFR and IFR flying and the people who make it possible, hosted by Aleks Udris and Colin Cutler.  By Boldmethod."
Places & Travel,"As Told By Nomads features interviews with global nomads, Third Culture Kids, and entrepreneurs discussing what it takes to be global leaders."
Sexuality,A weekly BDSM podcast.  Listen to julie_R as she talks about serving without fear and her life as a 24/7 slave.
Government & Organizations,"WAMC's The Roundtable is an award-winning, nationally recognized eclectic talk program. The show airs from 9am to noon each weekday and features news, interviews, in-depth discussion, listener call-ins, music, and much (much) more!"
Fitness & Nutrition,"This unique podcast covers everything from entertainment, fitness, spirituality to mind altering drugs....no holds barred open forum discussion but all guests need to have their ""pants off"".

The shows hosts Clark Bartram and Jeremy Jackson have made an imprint on their perspective carriers now they will bring that insight and their celebrity friends to the show.

Clark Bartram made his mark in the fitness industry by appearing on over 150 magazine covers, massive television exposure, movies like Batman Dead End and more.

Jeremy Jackson is best known for his role as Hobie on the most famous show to every be televised...Bay Watch. He has also been known for some ""child star"" behavior that has led him to a patch of recovery and self enlightenment.

This show promises to entertain and inspire all with their Pants Off....Why you ask?

""Because"" say the hosts....Why not!!

Join in and listen and share the show with any and everyone you know...they will be happy, or mad, that you did."
Gadgets,"We discuss all things related to two way radios, including business radios, FRS and GMRS consumer radios, and accessories.  Our goal is to help educate consumers and provide entertaining discussion."
Higher Education,The mission of Apologetics.com is to provide cutting-edge resources and training in Christian apologetics to the public through our website and related activities. Challenging believers to think and thinkers to believe.
Performing,Horror radio rises from the dead! Thrill to the chills of fully dramatized modern anthology horror in the tradition of radio drama classics such as Nightfall and Lights Out! Hear the fear!
Performing,"The Ensemblist is an inside look at the experience of being a Broadway performer- from the first rehearsal through performing eight shows a week and beyond. Whether you’re an experienced theatre professional or a passionate fan, The Ensemblist gives you the opportunity to get to know new performers and the great work they do onstage, while also shedding light on some of the hidden innerworkings of Broadway.

Created and hosted by Mo Brady (The Addams Family, SMASH) and Nikka Graff Lanzarone (Chicago, Women on the Verge of a Nervous Breakdown), The Ensemblist is the only podcast that shows you Broadway from the inside out.
 
For more information, visit http://theensemblist.com."
Automotive,"BMW News, reviews and opinion"
Local,🌳 Talking about tree care and business in Bucks County / Hunterdon County River Towns. 🌳 Helping the Customer make better and safer decisions with their money and time. #Buckscounty #NewHopePa #Lambertvillenj
Technology,"On Codebreaker we decipher our complicated feelings about technology by asking straightforward questions with a sense of humor, a sense of awe — and sometimes a sense of dread. In our second season we’ve got one question in mind: Can it save us? Codebreaker isn't just the name of our podcast, it's also a way to listen. Each episode contains a code to help you immediately unlock the next installment and ultimately the entire season. Think you've cracked a code? Go to Codebreaker.codes and enter it. If decoding isn't your thing, that’s OK. We'll put out episodes every Wednesday during the season. Produced by Marketplace in partnership with Tech Insider, and distributed by Marketplace from American Public Media. Follow along on Twitter: @MarketplaceTech"
Comedy,"Welcome to Fairhaven, a literal Bubble of corporate utopia set amid the wild, goblin-infested Brush. The first scripted comedy series from Maximum Fun, Bubble tells a tale that is both contemporary and otherworldly, as a small band of monster killers struggles to make ends meet and find love in a nightmarish version of the gig economy.   

Starring: Alison Becker (Parks and Recreation), Keith Powell (30 Rock), Cristela Alonzo (Cristela), Eliza Skinner (The Late Late Show) and Mike Mitchell (Love), with appearances by Judy Greer, John Hodgman, Martin Starr, Paul F. Tompkins, and many, many more."
Philosophy,Roger Chang and Tom Merritt discuss the issues of the day. And sometimes do verbal battle.
Gadgets,Not Found
Self-Help,"Emotional Badasses are survivors, thrivers, seekers, and healers! Expand and awaken to your higher purpose, be more present and authentic, find strength in spirituality, quiet the monkey mind of modern society with meditation, and connect deeply with yourself and safe others. We let go of what doesn't serve us to heal old wounds, find our voice guilt-free, and learn to be the hero in our own story, embrace guerrilla self care, and laugh with lightness on the self development path. This show is designed mindfully to be the emotional education so many of us crave; Emotional Badass is where we learn to love ourselves without apology. Emotional Badass is where Moxie meets Mindful.  Hosted by Nikki Eisenhauer, International Life Coach, Professional Psychotherapist, Yoga and Meditation Teacher."
Video Games,"IGN's Destiny addicts convene to talk about the joys, trials, and tribulations of life as a Guardian."
Performing,"In 2189, Earth narrowly won a war against extraterrestrials. The Strange Case of Starship Iris is about what comes after. It's a story of outer space, survival, espionage, resistance, identity, friendship, found family, romance, and secrets. (Also, there’s jokes.) For more info, visit http://procyonpodcasts.com/starship-iris"
Social Sciences,"Join Eugenia Krok, MA to bridge the esoteric + practical concepts of astrology to create a more professional + grounded future for astrology."
Sexuality,"Are you with a friend? Are you alone? It doesn't matter because our weekly Spice Podcast will get your imagination going wild. Support this podcast and get a great deal too, visit http://www.adamandeve.com for 50 PERCENT OFF most any item a free gift, and free shipping for a limited time.  You must use offer source code SASSY"
National,Podcast bringing public procurement issues to a lay audience. Interviews by Dr. Pedro Telles
Shopping,Helping Connect Community with Businesses and Events
Literature,"Austen’s timeless romantic classic, follows the lives of the five Bennett sisters, who live in a time where an advantageous marriage and social status are considered a fundamental for any woman to stand a fair chance at life. Set at the turn of the 19th century, Pride and Prejudice catches a perfect glimpse not only of a time when women were socially and economically dependent solely on their marital status, but also as an age of enlightenment and witness of the French Revolution.

This romantic novel with its hint of comic references begins with the famous quote ""It is a truth universally acknowledged that a single man in possession of a good fortune must be in want of a wife.""
This famous quotation sets the story into motion as the eligible Mr. Bingley is introduced as he rides into town. The quote also draws in and to some extent reveals the content of the plot to come. Soon the news of the arrival of the well off Charles Bingley finds its way to the ears of the Bennett household. Having five unmarried daughters, the Bennetts are eager to match them up with suitable spouse candidates and see them prosperously married. After attending a ball, Mr. Bingley is instantly attracted to the oldest Bennett daughter Jane and it is fair to say that the feeling is mutual. Such cannot be said about his close friend Mr. Darcy who rudely refuses to dance with the second Bennett daughter Elizabeth. Consequently, Elizabeth’s first prejudice is born as she labels Mr. Darcy arrogant and obnoxious; however, she later learns never to judge a book by its cover and must swallow up her pride to achieve happiness. Pride and Prejudice witnesses the exciting courtships of the Bennett sisters and their suitors, as well as the not so joyful relationships of other characters. As the novel develops the relationships between the characters must outweigh the forces seeking to tear them apart. 

Experience the adventures of the Bennett sisters as they face the troublesome issues of manners, social class, family, and marriages in a male reliant society. A story not only portraying the unreliable nature of pride and prejudice, Austen’s classic also paints a vivid image of the past and the woman as a member of society."
Investing,"Personal Finance Expert and author Pete the Planner (aka Peter Dunn) welcomes one person per episode on a quest to make them a millionaire. He digs deep into their financial life, fixes problems, and lays-out a detailed plan on how to accomplish their goals. Each guest is given their Million Dollar Day. The former comedian makes a seemingly boring topic, interesting. The podcast is filled with surprises, laughs, and practical money advice for real people."
Higher Education,"EconTalk is an award-winning weekly talk show about economics in daily life. Featured guests include renowned economics professors, Nobel Prize winners, and exciting speakers on all kinds of topical matters related to economic thought.  Topics include health care, free trade, economic growth, education, finance, politics, sports, book reviews, parenting, and the curiosities of everyday decision-making. Russ Roberts, of the Library of Economics and Liberty (econlib.org) and George Mason U., draws you in with lively guests and creative repartee.  Look for related readings and the complete archive of previous shows at EconTalk.org, where you can also comment on the podcasts and ask questions."
National,"The Discover Library and Archives Canada: Your History, Your Documentary Heritage podcast is where Canadian history, literature and culture await you. Each month, we will showcase treasures from our vaults, guide you through our many services and introduce you to the people who acquire, safeguard and make known Canada’s documentary heritage."
News & Politics,Go behind the headlines: From the economy and health care to politics and the environment – and so much more – On Point hosts Meghna Chakrabarti and David Folkenflik speak with newsmakers and real people about the issues that matter most. On Point is produced by WBUR for NPR.
History,"When you ask someone what their least favorite subject was in school, what do you think they’ll say? They will probably tell you it was History class. Or maybe it was Math. But those that thought “History” were probably thinking  “why do we care about ‘boring’ dead people”? But we’re here to tell you that it’s not the people you didn’t care about, it was the boring way it was taught to you!



If you want to re-learn history, but don’t have the patience for an online course, then we have the history podcast for you! History is a story; it’s even in the word. The truth is…History is full of amazing stories.  And we want to share them with you.



Featured twice on the new “New and Noteworthy” section of Apple Podcasts, Nerds on History takes the history you know, and livens it up with humor, bad impressions, and insightful discussion. Join hosts Bryan Moriarty, Eric Bricmont, and Sarah Ashley as they make their way through the most inspirational, terrifying, & funniest stories from history."
Higher Education,"Look closely and you'll find MIT Sloan is more than one of the world's top business schools. It's a diverse and vibrant community where every person is valued and supported. It's a meritocracy, where ideas supersede status and innovation is organic. It's a rich melding of cultures, perspectives, and ideas. It's a global experience and education, in which students can participate in a classroom discussion on India one month and meet with Indian government and business leaders the next month. It's a place of action and pragmatism, where faculty strive to solve the world's problems. It's a place where industry leaders come to connect with the brightest minds of the next generation. And It's a place where the classroom is but one part of the experience -- where students run conferences, found clubs, travel the world, challenge themselves and each other, and build personal and professional relationships for life. Look closely. You'll see what MIT Sloan is really like. Learn more at http://mitsloan.mit.edu."
Non-Profit,"The NCUSCR China Podcast Series provides information and analysis from leading experts on U.S.-China relations in a short-program format.  Regular releases cover a range of developing issues in politics, foreign policy, economics, security, culture, environment and areas of global concern. For more information, please visit the National Committee web site at: www.ncuscr.org.

The National Committee on U.S.-China Relations is the leading nonprofit, nonpartisan organization that encourages understanding of China and the United States among citizens of both countries."
Natural Sciences,"[This is the feed of only English episodes.] How do scientists uncover phenomena and explain their connections? How do engineers design machines, methods and infrastructure? At omega tau, experts give detailed answers. Over the last ten years, we have produced 300 episodes in which we dug deeper, until we ran out of questions. Join us on our journey through the world of science and engineering: the closer you look and listen, the more interesting things get."
Gadgets,"Smart Home podcast by Scott and Megan Shay, real estate pros in the Seattle area."
Higher Education,"A series of lectures delivered by Peter Millican to first-year philosophy students at the University of Oxford. The lectures comprise of the 8-week General Philosophy course, delivered to first year undergraduates. These lectures aim to provide a thorough introduction to many philosophical topics and to get students and others interested in thinking about key areas of philosophy. Taking a chronological view of the history of philosophy, each lecture is split into 3 or 4 sections which outline a particular philosophical problem and how different philosophers have attempted to resolve the issue. Individuals interested in the 'big' questions about life such as how we perceive the world, who we are in the world and whether we are free to act will find this series informative, comprehensive and accessible."
TV & Film,"The ForceCast is the official podcast network of TheForce.Net and Rebelscum.com. It features the latest news, interviews, events, and opinions from the Star Wars fan community. ForceCast shows are perfect for Star Wars fans of all types, from the casual film watcher to the die-hard conventioneer."
